,count,mean,std,min,25%,50%,75%,max
year,136302.0,2013.0,0.0,2013.0,2013.0,2013.0,2013.0,2013.0
month,136302.0,7.0483852034452905,0.8236740212049825,6.0,6.0,7.0,8.0,8.0
user_account_id,136302.0,540100.7324837493,406636.157032828,13.0,216362.0,397052.0,986691.0,1196944.0
user_lifetime,136302.0,2808.9820985752226,4940.816377561447,0.0,433.0,1057.5,1957.0,15947.0
user_intake,136302.0,0.025729629792666284,0.15832813981426042,0.0,0.0,0.0,0.0,1.0
user_no_outgoing_activity_in_days,136302.0,43.911233877712725,219.49110114659172,0.0,1.0,2.0,5.0,1307.0
user_account_balance_last,136302.0,10.495666828073801,18.083817847998727,0.0,0.8425,6.08,13.79,1791.68
user_spendings,136302.0,7.130303590556736,14.185369913649554,-30.06,0.12,2.74,8.46,1236.47
user_has_outgoing_calls,136302.0,0.883369282915878,0.32098091657071,0.0,1.0,1.0,1.0,1.0
user_has_outgoing_sms,136302.0,0.6573491218030549,0.4745976257802259,0.0,0.0,1.0,1.0,1.0
user_use_gprs,136302.0,0.04987454329356869,0.2176865197702001,0.0,0.0,0.0,0.0,1.0
user_does_reload,136302.0,0.4916949127672375,0.49993285468811693,0.0,0.0,0.0,1.0,1.0
reloads_inactive_days,136302.0,396.64134788924594,580.3285988040548,0.0,12.0,32.0,1276.0,1338.0
reloads_count,136302.0,0.8557394609029948,1.3763661542022492,0.0,0.0,0.0,1.0,30.0
reloads_sum,136302.0,7.513593637659368,15.466756875080163,-53.34,0.0,0.0,12.0,1252.86
calls_outgoing_count,136302.0,36.8033191002333,64.71858619435713,0.0,4.0,17.0,44.0,3698.0
calls_outgoing_spendings,136302.0,4.898272145676846,10.55507747838281,0.0,0.0,1.22,5.39,417.11
calls_outgoing_duration,136302.0,33.153837581253335,66.38388605808089,0.0,0.4,10.15,38.05,2910.62
calls_outgoing_spendings_max,136302.0,0.919632213760399,1.745429429233225,0.0,0.0,0.32,1.08,59.4
calls_outgoing_duration_max,136302.0,5.036098663262603,7.505468511603421,0.0,0.33,2.27,6.63,60.0
calls_outgoing_inactive_days,136302.0,99.58083520417895,336.212341086413,0.0,1.0,2.0,8.0,1338.0
calls_outgoing_to_onnet_count,136302.0,0.47902451908262533,2.9312730999247005,0.0,0.0,0.0,0.0,191.0
calls_outgoing_to_onnet_spendings,136302.0,0.2036221038576173,1.6507952374335344,0.0,0.0,0.0,0.0,130.03
calls_outgoing_to_onnet_duration,136302.0,0.6069766401079953,4.781989635851881,0.0,0.0,0.0,0.0,308.7
calls_outgoing_to_onnet_inactive_days,136302.0,99.58083520417895,336.212341086413,0.0,1.0,2.0,8.0,1338.0
calls_outgoing_to_offnet_count,136302.0,16.144069786210032,34.97136580552085,0.0,0.0,5.0,18.0,3623.0
calls_outgoing_to_offnet_spendings,136302.0,2.9228431717804546,6.2617071315899455,0.0,0.0,0.56,3.14,174.69
calls_outgoing_to_offnet_duration,136302.0,21.14706504673454,49.43500300286114,0.0,0.0,4.0,22.03,2833.0
calls_outgoing_to_offnet_inactive_days,136302.0,99.58083520417895,336.212341086413,0.0,1.0,2.0,8.0,1338.0
calls_outgoing_to_abroad_count,136302.0,2.234185852005106,15.287793593216609,0.0,0.0,0.0,0.0,3060.0
calls_outgoing_to_abroad_spendings,136302.0,0.39015135507916987,2.6017387517138277,0.0,0.0,0.0,0.0,138.58
calls_outgoing_to_abroad_duration,136302.0,1.7249046235565197,11.659566333412718,0.0,0.0,0.0,0.0,822.47
calls_outgoing_to_abroad_inactive_days,136302.0,99.58083520417895,336.212341086413,0.0,1.0,2.0,8.0,1338.0
sms_outgoing_count,136302.0,37.22981320890376,95.11358467258302,0.0,0.0,5.0,35.0,3715.0
sms_outgoing_spendings,136302.0,2.0191272321751885,7.0435580642442,-11.53,0.0,0.22,1.82,1234.3
sms_outgoing_spendings_max,136302.0,0.09452509867792645,0.2948922711164585,0.0,0.0,0.06,0.09,4.0
sms_outgoing_inactive_days,136302.0,333.05675632052356,560.9997132795206,0.0,1.0,7.0,90.0,1338.0
sms_outgoing_to_onnet_count,136302.0,2.623791286995055,13.130487494134796,0.0,0.0,0.0,0.0,869.0
sms_outgoing_to_onnet_spendings,136302.0,0.11770436237179371,0.5918304646082595,0.0,0.0,0.0,0.0,35.88
sms_outgoing_to_onnet_inactive_days,136302.0,333.05675632052356,560.9997132795206,0.0,1.0,7.0,90.0,1338.0
sms_outgoing_to_offnet_count,136302.0,22.74462590424205,70.1061082420786,0.0,0.0,1.0,17.0,3714.0
sms_outgoing_to_offnet_spendings,136302.0,1.3287617936637575,4.059125462511174,-11.53,0.0,0.06,0.96,158.28
sms_outgoing_to_offnet_inactive_days,136302.0,333.05675632052356,560.9997132795206,0.0,1.0,7.0,90.0,1338.0
sms_outgoing_to_abroad_count,136302.0,1.744457161303576,10.13710972567876,0.0,0.0,0.0,0.0,479.0
sms_outgoing_to_abroad_spendings,136302.0,0.184101333802898,1.1475425170566926,0.0,0.0,0.0,0.0,84.45
sms_outgoing_to_abroad_inactive_days,136302.0,333.05675632052356,560.9997132795206,0.0,1.0,7.0,90.0,1338.0
sms_incoming_count,136302.0,9.546639080864551,14.169710349088835,0.0,1.0,7.0,13.0,716.0
sms_incoming_spendings,136302.0,0.13903809188419683,1.3385992792281676,-5.55,0.0,0.0,0.0,98.0
sms_incoming_from_abroad_count,136302.0,1.4052691816701148,4.85380305340654,0.0,0.0,0.0,1.0,550.0
sms_incoming_from_abroad_spendings,136302.0,0.013792680958460368,0.1944463378777198,-1.35,0.0,0.0,0.0,21.21
gprs_session_count,136302.0,9.795674311455445,152.1391677459262,0.0,0.0,0.0,0.0,16195.0
gprs_usage,136302.0,3.0433181464688643,58.236348312456556,0.0,0.0,0.0,0.0,5817.62
gprs_spendings,136302.0,0.21290854132734294,3.3937856463837925,-38.9,0.0,0.0,0.0,380.55
gprs_inactive_days,136302.0,1200.0043726431013,356.94712315932253,0.0,1276.0,1307.0,1338.0,1338.0
last_100_reloads_count,136302.0,3.6847881909289666,6.442975055894932,0.0,0.0,2.0,5.0,247.0
last_100_reloads_sum,136302.0,23.272415869902844,41.92906444682098,-25.0,0.0,12.0,30.0,2723.845
last_100_calls_outgoing_duration,136302.0,104.53322533785216,191.38922771321825,0.0,5.85,40.3,123.21499999999999,6734.93
last_100_calls_outgoing_to_onnet_duration,136302.0,1.476821983536555,9.025366386133744,0.0,0.0,0.0,0.0,515.08
last_100_calls_outgoing_to_offnet_duration,136302.0,68.91120687884187,144.45351242783596,0.0,1.0,20.63,75.7775,6500.0
last_100_calls_outgoing_to_abroad_duration,136302.0,4.23288425701753,23.673347354548124,0.0,0.0,0.0,0.0,1630.67
last_100_sms_outgoing_count,136302.0,111.24446449795308,262.4711397906261,0.0,1.0,21.0,112.0,7254.0
last_100_sms_outgoing_to_onnet_count,136302.0,7.885020029053132,33.99772533376623,0.0,0.0,0.0,2.0,1298.0
last_100_sms_outgoing_to_offnet_count,136302.0,68.12368123725257,186.38902398475585,0.0,0.0,8.0,60.0,7230.0
last_100_sms_outgoing_to_abroad_count,136302.0,4.240429340728676,20.045359434964624,0.0,0.0,0.0,0.0,1267.0
last_100_gprs_usage,136302.0,7.514384308374128,100.72219525280117,0.0,0.0,0.0,0.0,7671.69
